videoID,timeadjusted,originalsamples,adjustedsamples,start_time_analysiswindow,end_time_analysiswindow,perc_twopersonsdetected,average_com_movementp1,average_com_movementp2,smoothness_distancecom,SPARC_smoothness_distancecom,smoothness_distancecentroid,smoothness_xy_average_com_p1,smoothness_xy_average_com_p2,smoothness_xy_average_centroid_p1,smoothness_xy_average_centroid_p2,smoothness_p1_proximity,smoothness_p2_proximity
cop_p01,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",3827,3001,0,100,0.9892866475045727,27.818434804640596,38.84366305654776,37.76336228713785,-765.3680922587731,36.593092919230116,41.14860241631484,37.29480077575599,38.18809995520054,36.34313250622015,40.642833647515396,41.32438926984895
cop_p02,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",6055,3001,0,100,0.9502890173410404,22.855169392025346,30.182614675224617,40.83963769729577,-875.7708571035481,44.2268962142169,38.814959594178895,37.18939474311942,39.23987258719667,36.925407773814214,37.722809870677985,36.829275165867955
cop_p03,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7020,3001,0,100,0.9915954415954416,25.906269559272904,46.01265063835637,38.53359900937613,-726.9655999402631,37.02590922365507,43.87664076334352,39.044812703526226,37.40107458845083,36.51648298621967,42.37607072616887,40.65039000384133
cop_p04,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",3237,2937,0,100,0.9941303676243435,25.78151116987078,39.73121866201407,39.87491713092501,-935.0588461428719,39.63390508791391,38.70344571423534,40.706661534192776,38.83933619141334,39.24262724508117,38.09268939111856,42.23261969227926
cop_p05,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",5253,3001,0,100,0.9855320769084333,22.157247061849215,29.334597745274024,40.949371287260966,-769.881726774896,41.389404925324655,37.49852742907878,39.34654872529089,35.95175960335719,37.923100244689955,37.320000409270754,38.10325064305985
cop_p06,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7335,3001,0,100,0.9569188820722563,30.27296464154768,43.84274934915735,38.36944399300574,-729.7796370913262,38.57845409593051,41.000993996243466,37.94075733025056,36.532901504013985,38.68066167780084,39.66232663301514,39.88416405308767
cop_p07,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",4440,3001,0,100,0.9871621621621621,27.104859744891474,31.862780525333633,37.42013882041978,-577.8108462064951,37.40317496841535,42.826575091769925,37.759606894909055,37.8100961145378,37.43671666622723,39.27888191557772,37.09167851709716
cop_p08,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7263,3001,0,100,0.9953187388131626,22.0920198770753,41.91643982694314,40.243334307786405,-792.1059962898164,38.896845669387815,39.13001848051083,40.017556569651454,37.71179601928801,38.4283010770466,41.69577270875041,40.792394695730444
cop_p09,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7129,2953,0,100,0.9810632627296956,31.609508685881742,47.45517972607727,37.89202183550484,-850.6025533753112,40.75086980090675,42.112496396265016,38.003687185792,39.95612513172297,41.37815011436789,40.60515149543821,37.05095686799402
cop_p10,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",3178,3001,0,100,1.0,20.189036224184402,23.097314265202144,39.68527388785882,-800.1013726785638,40.976337933307825,40.87646145071938,38.58839186534145,39.388164300186226,41.27197648677457,37.57054929933531,37.480135374153704
cop_y01,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",4740,3001,0,100,0.9985232067510549,23.830538842649375,43.33679095517655,39.01832774028162,-839.4101490765783,37.979895473144815,39.15189107247712,39.394149830480416,38.64534447758919,38.760034851632184,39.50244792326915,38.809477727784184
cop_y01_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",4740,3001,0,100,0.9949367088607595,24.243505383389643,52.84466287197614,45.00556257381585,-867.552989249258,37.510067756709724,38.21410128698221,39.49118756698158,38.43478349175602,39.541551956231814,38.20329384454917,38.0722874508319
cop_y02,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",4478,3001,0,100,0.8878963823135329,39.24384415993199,73.39880203416432,40.270542623846964,-915.5485302339143,39.44373087493068,38.59811768153333,40.12268515899908,42.87495392182389,39.383148862098224,37.11789212650389,39.391352981701296
cop_y02_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",4478,3001,0,100,0.8497096918267083,39.94609313058212,80.61534154200297,38.567936158980075,-877.8852040736671,57.09124889780447,39.05430017532915,43.06341143264443,39.37937504780545,43.3018486987321,37.351591467351064,39.67795195759222
cop_y03,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7258,3001,0,100,0.8658032515844585,33.9666456311518,56.022644256813045,40.31092981664236,-904.7716851310253,40.73857274839037,39.83628324874488,37.65166693200558,41.70176609167972,37.518874611035855,40.102079055798534,37.47261581211115
cop_y03_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7134,3001,0,100,0.8873002523128679,34.10205277321341,58.62120013697104,38.639745588290175,-916.1338512119294,39.23788326682177,41.59731345233362,38.489930031201816,41.47655740294094,40.1395495780896,39.57731430549462,38.07156045153204
cop_y04,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",6311,3001,0,100,0.9659324988115988,38.44269055110258,48.23985096844625,38.214363511767324,-871.719065724938,37.95616640807544,39.900197793738414,39.092802181025604,38.3850496704038,38.24852429726829,39.26827815481989,38.673706068123494
cop_y04_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",6311,3001,0,100,0.9561083821898273,39.35075303515007,50.96403515114572,37.96842675219042,-622.9736463965447,38.495182567566026,40.100474041514005,38.32847655038864,38.837473974142696,38.63630726827901,40.90472801368111,38.517487394209795
cop_y05,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",5334,3001,0,100,0.9955005624296963,31.486049321292157,49.78534441956964,38.43993822957831,-737.0867956828445,37.424493434123725,40.47823122570694,37.81795684003745,40.50525039449022,38.21575313382266,38.069526924853044,38.032373493992736
cop_y05_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",5334,3001,0,100,0.9979377577802775,31.069555094381478,49.2732008910215,44.43935126405502,-847.0278278758421,37.66094651883066,39.28910014868637,40.299024138033616,38.341161619437926,38.40905986066884,40.64118365066112,39.2573525930236
cop_y06,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7073,3001,0,100,0.916584193411565,43.660197486085714,86.02532857450997,39.523050136267834,-788.5412095627607,40.59408639320667,40.91004832303034,40.218849001825745,46.513237213277826,38.83960465754248,40.146749533291505,37.867111497842416
cop_y06_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7070,3001,0,100,0.9247524752475248,42.84258804753625,91.32993070733298,38.98408800113945,-889.8487403295676,41.30546714049307,38.8767515789479,39.93631825445539,40.473590435406,39.06474218522894,44.31356996454702,37.46329948732103
cop_y07,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",6545,3001,0,100,0.9920550038197097,20.569319993195624,31.313703642793115,38.369243249091696,-739.2659714678181,39.217077444298496,38.186875965244916,40.206778380674535,36.7622786329665,40.53817453808344,37.4062586649139,40.21657331210188
cop_y07_stab,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",6545,3001,0,100,0.9894576012223071,22.329983426652735,35.68602982119442,39.738748839135184,-724.8474841430107,38.15963663284833,40.399640995519235,39.802854622504796,36.47909503759885,41.30717818195504,35.724652202932766,46.23111705256486
cop_y08,"FALSE - Not adjusted to start time as no start time was given for this video, window length is still set to: 100 seconds",7539,3001,0,100,0.8899058230534553,15.29613175393347,19.432370276509353,39.85529970135546,-653.0146229995252,40.879985104027355,39.63114570692227,38.487435919203506,38.123133532763035,38.316356836014954,38.611124481259736,38.9096357210988
