time,x_min,x_max,com_x,y_min,y_max,com_y,centroid_x,centroid_y,distance,distance_com,shoulder_midpoint_p1_x,shoulder_midpoint_p1_y,shoulder_midpoint_p2_x,shoulder_midpoint_p2_y,distance_shoulder_midpoint,wrist_left_p1_x,wrist_left_p1_y,wrist_right_p1_x,wrist_right_p1_y,com_p1_x,com_p1_y,centroid_p1_x,centroid_p1_y,wrist_left_p2_x,wrist_left_p2_y,wrist_right_p2_x,wrist_right_p2_y,com_p2_x,com_p2_y,centroid_p2_x,centroid_p2_y,both_tracked,single_tracked,distance_smooth,wrist_left_p1_speed,wrist_left_p1_speed_smooth,wrist_right_p1_speed,wrist_right_p1_speed_smooth,wrist_left_p2_speed,wrist_left_p2_speed_smooth,wrist_right_p2_speed,wrist_right_p2_speed_smooth,p1_com_approach_pos,p2_com_approach_pos
0.0,0.0,584.0432739257812,284.99824087960377,0.0,748.3174438476562,430.197756086077,292.0216369628906,374.1587219238281,537.8594814547135,961.4869783088532,338.9389190673828,549.5906219482422,1505.1209106445312,872.4591369628906,1210.051451578241,518.9343872070312,420.05517578125,393.90966796875,748.3174438476562,284.99824087960377,430.197756086077,292.0216369628906,374.1587219238281,1216.34716796875,987.9358520507812,1467.67626953125,526.458251953125,1210.5469512939453,690.6143341064453,816.3674926757812,493.9679260253906,True,False,541.0275264733169,0.0,1.5330674466990035,0.0,16.312621165714905,0.0,3.2356942941894373,0.0,5.261920176777395,-9.618937107241075,-16.77560054565073
0.02,0.0,582.8917236328125,260.5019592285156,0.0,712.5144653320312,400.3685567220052,291.44586181640625,356.2572326660156,555.3328727327663,948.0660347993847,341.3867950439453,551.0900573730469,1499.0537719726562,945.5539855957031,1223.0268272364713,517.7817993164062,422.9313354492188,360.7861328125,712.5144653320312,260.5019592285156,400.3685567220052,291.44586181640625,356.2572326660156,1227.6488037109375,1010.689208984375,1512.58203125,544.6473999023438,1159.6563371930804,700.9523402622768,822.0983276367188,519.9721069335938,True,False,549.0088588985718,3.098508234822981,1.312125816601352,48.77521759908033,25.040299581885815,25.405554947621372,9.605943491709109,48.449690800455286,19.10516693119639,-19.264887000346647,-26.70062170607335
0.04,0.0,584.7405395507812,264.8840087890625,0.0,736.6349487304688,400.28277384440105,292.3702697753906,368.3174743652344,550.8003003136838,944.0576156017867,343.0569152832031,548.1207885742188,1500.21728515625,942.3955688476562,1222.4862878430965,520.2280883789062,421.7337341308594,382.2213134765625,736.6349487304688,264.8840087890625,400.28277384440105,292.3702697753906,368.3174743652344,1228.6263427734375,1011.617919921875,1512.01220703125,542.9281616210938,1160.047816685268,700.1603131975446,822.2020263671875,518.8474731445312,True,False,552.447859251531,2.7237068665778588,1.5644042219267542,32.26863321362245,29.701006516950464,1.3483644255710352,13.861136382143714,1.8112095152106236,28.338982625583583,-24.664941076228672,-32.01752888994632
0.06,0.0,584.49365234375,262.18755493164065,0.0,698.822021484375,399.1966959635417,292.246826171875,349.4110107421875,555.145349298727,945.9903264138395,344.5111999511719,550.4596862792969,1500.1370239257812,939.0746459960938,1219.2180411856948,521.1316528320312,424.2970581054688,363.69378662109375,698.822021484375,262.18755493164065,399.1966959635417,292.246826171875,349.4110107421875,1228.7880859375,1011.8988037109376,1508.949951171875,537.4010620117188,1159.6070382254463,698.4223109654018,821.2362060546875,517.80517578125,True,False,552.3223884957183,2.717914369467621,2.136089677204176,42.108036267421625,31.15051843264007,0.3241242880117435,16.23475518068839,6.318721471961697,33.44769852627752,-26.81915157753655,-34.09096071907949
0.08,0.0,583.956298828125,279.336916242327,0.0,707.3230590820312,424.8397543770926,291.9781494140625,353.6615295410156,537.9865224992532,965.6440219517235,350.05303955078125,546.6987457275391,1505.3994140625,849.1675720214844,1194.283314786324,520.4012451171875,423.2841796875,359.2116394042969,707.3230590820312,279.336916242327,424.8397543770926,291.9781494140625,353.6615295410156,1230.065185546875,987.0428466796876,1465.1038818359375,505.9323120117188,1209.2455139160156,685.1057281494141,811.467041015625,493.5214233398438,True,False,549.6103075946573,1.2487666393246826,2.873369196962584,9.610269710565106,30.244611790685827,24.88874410956913,16.960282102538276,53.96999187302454,34.91564589961673,-26.727570746919724,-34.285555815282706
0.1,0.0,584.2252197265625,260.25440877278646,0.0,720.23583984375,396.47649739583335,292.11260986328125,360.117919921875,552.3084813228005,950.4269296254712,347.7627258300781,544.3701629638672,1502.6289672851562,939.4466552734375,1220.5742379831768,518.7643432617188,422.3794555664063,357.13037109375,720.23583984375,260.25440877278646,396.47649739583335,292.11260986328125,360.117919921875,1236.83349609375,1019.52294921875,1507.2305908203125,533.5616455078125,1161.3224923270088,698.7804129464286,820.7997436523438,519.913330078125,True,False,545.2894775118731,1.8702869885998223,3.622429795730951,13.07943365672614,27.83906305281901,33.17781018402128,16.27119936288857,50.37896068094881,33.227156011939826,-25.390250827027668,-33.96595280036585
0.12,0.0,585.5400390625,277.3123212541853,0.0,710.5430908203125,422.6307569231306,292.77001953125,355.27154541015625,541.4128699935876,972.4752605440607,341.4903106689453,540.1265716552734,1501.5257568359375,874.5809631347656,1207.287031465082,518.659912109375,419.0526123046875,340.3876342773437,710.5430908203125,277.3123212541853,422.6307569231306,292.77001953125,355.27154541015625,1239.865234375,1033.093994140625,1462.1890869140625,523.2379150390625,1209.3543243408203,700.130012512207,809.604736328125,516.5469970703125,True,False,539.9757647350817,3.328481929292042,3.586425959879482,19.346023357134555,22.781872919764048,13.905563536856244,13.149891775222567,46.209484794013136,26.312788104050473,-23.23406279194913,-34.059866481402594
0.14,0.0,585.08837890625,260.5730021158854,0.0,745.203857421875,393.13181355794273,292.544189453125,372.6019287109375,536.1261468973397,937.4868282203388,351.8516540527344,539.0920715332031,1502.9150390625,871.65283203125,1198.141717716723,525.3778686523438,418.0998229980469,361.3197021484375,745.203857421875,260.5730021158854,393.13181355794273,292.544189453125,372.6019287109375,1244.478759765625,1033.515625,1463.044921875,521.5399780273438,1154.1287318638392,676.7507672991071,808.9261474609375,516.7578125,True,False,537.144579641026,6.785185891047154,3.5891144346824664,40.490989204612774,23.288712395053413,4.632751786089868,13.048623833525149,1.9014319804103672,24.65027033435696,-24.952269298877265,-40.18608467472383
0.16,0.0,585.5924682617188,267.29967041015624,0.0,759.558837890625,395.2490214029948,292.7962341308594,379.7794189453125,530.736776910267,928.2349557519626,352.70277404785156,540.9059295654297,1497.3636474609375,875.9197387695312,1192.6788199176888,520.512939453125,417.111328125,389.861572265625,759.558837890625,267.29967041015624,395.2490214029948,292.7962341308594,379.7794189453125,1245.5244140625,1038.5919189453125,1456.9664306640625,518.5015869140625,1151.4361921037946,677.9551304408482,804.8671875,519.2959594726562,True,False,534.3579256110199,4.964338649553548,4.127790059177801,31.94845558152373,19.94930849891358,5.18287112783923,9.127435639736708,6.79557767660049,15.33642464072903,-26.85127249582238,-48.410296088661724
0.18,0.0,585.1387329101562,265.1339111328125,0.0,749.8602294921875,394.85443318684895,292.5693664550781,374.93011474609375,532.2604546508452,929.8992208270548,348.36207580566406,540.8085021972656,1496.1392822265625,875.7012634277344,1195.6360972737189,516.7147216796875,416.6990661621094,381.45599365234375,749.8602294921875,265.1339111328125,394.85443318684895,292.5693664550781,374.93011474609375,1243.4794921875,1037.9578857421875,1457.0234375,520.0745849609375,1150.8175048828125,678.1866280691964,804.966796875,518.9789428710938,True,False,534.9678632256395,3.820525903655536,4.527980517636546,12.834202612172428,19.756828244336994,2.1409585651101386,3.291985045664723,1.574030696910378,3.772641231290894,-30.602238447156203,-58.35215829982448
