time,x_min,x_max,com_x,y_min,y_max,com_y,centroid_x,centroid_y,distance,distance_com,shoulder_midpoint_p1_x,shoulder_midpoint_p1_y,shoulder_midpoint_p2_x,shoulder_midpoint_p2_y,distance_shoulder_midpoint,wrist_left_p1_x,wrist_left_p1_y,wrist_right_p1_x,wrist_right_p1_y,com_p1_x,com_p1_y,centroid_p1_x,centroid_p1_y,wrist_left_p2_x,wrist_left_p2_y,wrist_right_p2_x,wrist_right_p2_y,com_p2_x,com_p2_y,centroid_p2_x,centroid_p2_y,both_tracked,single_tracked,distance_smooth,wrist_left_p1_speed,wrist_left_p1_speed_smooth,wrist_right_p1_speed,wrist_right_p1_speed_smooth,wrist_left_p2_speed,wrist_left_p2_speed_smooth,wrist_right_p2_speed,wrist_right_p2_speed_smooth,p1_com_approach_pos,p2_com_approach_pos
0.0,0.0,771.2488403320312,329.42542325533356,0.0,675.7847290039062,415.56112201397235,385.6244201660156,337.8923645019531,378.67828825329536,661.1519975833814,239.6920394897461,469.7652893066406,1426.18798828125,748.8597106933594,1218.8791295890821,314.0953369140625,281.673095703125,322.19549560546875,665.3441162109375,329.42542325533356,415.56112201397235,385.6244201660156,337.8923645019531,1001.5450439453124,900.747802734375,1119.494140625,461.756103515625,974.4788953993055,560.5714043511284,743.960693359375,460.3356628417969,True,False,378.43481599541184,0.0,1.5727790162522413,0.0,2.8800555131225383,0.0,0.447708954938046,0.0,1.2563189666216106,0.5919252489325648,-0.3993926927053378
0.02,0.0,768.89208984375,334.46649404672473,0.0,674.944580078125,413.17259216308594,384.446044921875,337.4722900390625,379.96969571000994,657.3102806379931,246.5549774169922,466.1202697753906,1428.3941650390625,745.9828186035156,1214.5233269212122,321.9861145019531,278.4814453125,337.4877624511719,654.8030395507812,334.46649404672473,413.17259216308594,384.446044921875,337.4722900390625,1003.1456298828124,899.009033203125,1123.4034423828125,463.855224609375,975.0770128038195,560.3968031141493,744.7978515625,457.9859619140625,True,False,379.984760151004,8.511815503024822,3.6221595708796652,18.573306717854035,7.809769246214998,2.3633016790342487,1.2006845531027388,4.437223185716727,2.536748300609337,3.169513174109552,7.407389413782376
0.04,0.0,767.9011840820312,334.98611802321216,0.0,675.1265869140625,412.526616023137,383.9505920410156,337.56329345703125,380.1917159063072,656.8686861311928,247.19600677490234,464.6311950683594,1428.7676391601562,746.00244140625,1214.611584303102,322.6052551269531,276.1575012207031,339.945068359375,652.576416015625,334.98611802321216,412.526616023137,383.9505920410156,337.56329345703125,1002.8294677734376,899.615234375,1121.117919921875,461.8678894042969,974.9833577473959,560.4455261230469,744.5491943359375,458.0389709472656,True,False,381.1485338532416,2.405005458480914,4.8160921432942425,3.316052577056296,9.780125996827355,0.6836946249510296,1.5636436313929507,3.028714931582819,3.1457615416281053,5.050123796110652,2.3115732052352764
0.06,0.0,766.7527465820312,337.49491060697113,0.0,674.5435791015625,409.1767836350661,383.3763732910156,337.27178955078125,382.98640835384106,656.1437198835137,254.09939575195312,461.679931640625,1430.7877807617188,747.9490661621094,1211.0101456208242,325.0888671875,275.846435546875,342.9396057128906,653.0684204101562,337.49491060697113,409.1767836350661,383.3763732910156,337.27178955078125,1001.9359130859376,898.65380859375,1125.167724609375,462.8179321289063,975.7988688151041,561.139404296875,746.5040893554688,458.9962768554688,True,False,381.9795022971056,2.5030163245029065,5.319744657751661,3.034686521840176,9.626488690018343,1.3125469562668588,1.6291333945040316,4.1597474905912595,3.236609945259132,6.395037541921954,-13.076642120894844
0.08,0.0,766.7554321289062,337.34750014085034,0.0,673.3762817382812,408.56114783653845,383.3777160644531,336.6881408691406,381.64006546571267,656.656799475734,251.12564849853516,459.4573059082031,1431.567626953125,742.8569641113281,1213.9846089499795,322.989990234375,274.2750244140625,344.832763671875,653.5358276367188,337.34750014085034,408.56114783653845,383.3777160644531,336.6881408691406,1003.8414306640624,896.8707275390625,1126.3131103515625,461.06982421875,976.4107259114584,559.5457356770834,745.63134765625,456.7774658203125,True,False,382.53103067757723,2.6219491628722222,5.298285038507605,1.9500042495104293,8.184220250846685,2.609669574510916,1.4897010471313328,2.0899257795332016,2.9625447670836342,7.365534838529543,-36.147057367156165
0.1,0.0,766.8878173828125,339.740478515625,0.0,672.642578125,407.46257400512695,383.44390869140625,336.3212890625,383.5260911677923,548.0662719673575,253.40524291992188,475.7047119140625,1432.8447875976562,746.1464233398438,1210.048081205258,311.9159545898437,278.5785522460937,331.67364501953125,672.236328125,339.740478515625,407.46257400512695,383.44390869140625,336.3212890625,1003.57763671875,896.0128173828125,1127.1368408203125,460.7154541015625,879.2548950195312,503.9033996582031,747.30517578125,457.553466796875,True,False,382.8564841896385,11.880850864202321,4.916881209817767,22.86637536249828,6.2886836043710925,0.8975506012367067,1.237893793970202,0.8967218437746329,2.4768172626828298,8.122896112919518,-64.28947333609712
0.12,0.0,767.2335205078125,343.30914306640625,0.0,674.89306640625,400.3002180619673,383.61676025390625,337.446533203125,383.33808176725995,460.106021732708,256.6701507568359,477.76153564453125,1433.8709716796875,744.7752380371094,1207.103181193235,314.088623046875,276.1558532714844,332.2625427246094,674.89306640625,343.30914306640625,400.3002180619673,383.61676025390625,337.446533203125,1003.7177124023438,896.3092041015625,1126.890380859375,459.3375244140625,799.808632590554,457.7960205078125,747.8245849609375,457.0322570800781,True,False,383.06127009713225,3.2542216497577177,4.259201042094596,2.7212237692085313,6.113450303982608,0.3278205060481238,0.9974699458958047,1.3997973910674222,1.8821303095194757,8.82004036352848,-95.34608858509587
0.14,0.0,766.2139892578125,335.06023935171277,0.0,673.6525268554688,412.17947152944714,383.10699462890625,336.8262634277344,383.23928202828546,659.3305174547405,251.1754913330078,468.8644714355469,1433.9520263671875,741.2137451171875,1213.7275059511412,316.3934631347656,273.42095947265625,337.901123046875,673.6525268554688,335.06023935171277,412.17947152944714,383.10699462890625,336.8262634277344,1004.4636840820312,896.3651123046875,1128.2283935546875,457.5517578125,977.9159138997396,558.6489664713541,747.4136352539062,455.792724609375,True,False,383.2522765063653,3.576581038032858,3.919393704428522,5.773432811395112,9.220622008532139,0.7480638168448307,0.9894750474277745,2.231421145385492,1.71857616448098,10.715184989117544,-126.72933719326774
0.16,0.0,765.84033203125,344.35343794389206,0.0,672.15283203125,398.0479999889027,382.920166015625,336.076416015625,382.347313101862,459.21051042974585,257.8785858154297,473.8798370361328,1433.5457153320312,740.4674377441406,1205.5132302372538,314.25250244140625,273.048828125,334.2457580566406,672.15283203125,344.35343794389206,398.0479999889027,382.920166015625,336.076416015625,1004.359130859375,895.5662841796875,1126.501220703125,454.9363403320313,799.813643022017,456.6167158647017,746.3703002929688,454.7923278808594,True,False,382.9747766645496,2.1730610737893015,3.8136282692679293,3.951047681010653,9.889078734770827,0.8056412040473246,0.9922546003427629,3.134251849535347,1.5883954827795124,11.857734690695947,-153.1795360925487
0.18,0.0,765.6253662109375,345.33891157670456,0.0,672.50048828125,397.09827215021306,382.81268310546875,336.250244140625,382.6897582533548,458.16153417692817,259.77081298828125,472.8622741699219,1433.1495971679688,740.5421752929688,1203.5241171776518,313.3505859375,271.1921081542969,338.3305053710937,672.231689453125,345.33891157670456,397.09827215021306,382.81268310546875,336.250244140625,1002.7501831054688,895.094482421875,1126.8013916015625,454.2653503417969,799.6652554598721,456.255390514027,747.1546630859375,453.324462890625,True,False,382.9457241678903,2.06418565774164,3.5823955695477157,4.085508428080442,7.741791441710037,1.6766960885846105,0.8849031657022597,0.735071517108083,1.782965644317695,11.919213603728672,-169.57402884606998
0.2,0.0,766.7138671875,346.07583063299006,0.0,672.3529052734375,393.8762858997692,383.35693359375,336.17645263671875,383.31559403962655,458.6267215207169,264.2708740234375,475.1832733154297,1434.982177734375,738.0456848144531,1199.8589933886585,310.1415405273437,268.20770263671875,338.61328125,648.3142700195312,346.07583063299006,393.8762858997692,383.35693359375,336.17645263671875,1003.8429565429688,895.2314453125,1126.3206787109375,452.4070129394531,800.598593971946,455.0933366255327,748.33447265625,453.3184204101562,True,False,382.68850613018685,4.382310890135023,2.6521848742482947,23.919091006142754,5.913362978363908,1.1013231220281912,1.294076700964982,1.9195058697911709,1.6502561744135258,11.921980001175768,-172.75152600391664
0.22,0.0,766.588134765625,348.4352722167969,0.0,671.865966796875,393.5277848677202,383.2940673828125,335.9329833984375,383.0453597199917,455.89485192506277,269.0212097167969,477.3833923339844,1432.8021850585938,739.1732177734375,1192.862134226384,310.6712646484375,267.0045471191406,346.9508056640625,651.5682983398438,348.4352722167969,393.5277848677202,383.2940673828125,335.9329833984375,1002.929443359375,894.7215576171875,1126.593505859375,451.3142700195313,800.0678932883523,455.72176846590907,747.8834838867188,453.399169921875,True,False,382.7193978768995,1.314606725963051,3.7553531328405954,8.950028696293884,9.118847163001787,1.0461796205387874,1.5029642763477922,1.126286705046188,1.6802913430259623,12.054853235312795,-180.79619227638065
0.24,0.0,765.2919921875,337.36202409532336,0.0,670.6646728515625,422.00120713975696,382.64599609375,335.33233642578125,381.804706017358,463.69585970449367,259.63227462768555,472.9129867553711,1431.0742797851562,737.8416748046875,1201.026053505455,304.10426330566406,272.6157989501953,345.05921936035156,649.3458557128906,337.36202409532336,422.00120713975696,382.64599609375,335.33233642578125,1004.8225708007812,895.57958984375,1126.72021484375,449.38128662109375,799.8982987837358,454.7738314541903,745.9315185546875,452.7991943359375,False,False,382.90730945780115,8.637803757177094,4.547669040273921,2.918449926670854,13.413087478662852,2.0784972483083,1.3940877689511753,1.9371318967371713,1.5525682462200798,12.565189656103046,-200.42876477593416
0.26,0.0,766.2976684570312,337.2437167697483,0.0,670.4631958007812,420.9193801879883,383.1488342285156,335.2315979003906,382.84752147164386,465.0671548426983,259.15914154052734,470.6686553955078,1433.9371337890625,738.1708068847656,1204.8488420224676,301.72789001464844,269.1955871582031,347.8227081298828,650.6528015136719,337.2437167697483,420.9193801879883,383.1488342285156,335.2315979003906,1005.4495239257812,896.07568359375,1126.299560546875,448.0212707519531,801.079306862571,454.7425065474077,747.2477416992188,453.5709838867188,False,False,382.7594593308861,4.164732730960637,4.908653608916748,3.0569555942972224,14.744484019556456,0.7994868540109513,1.2853534944264435,1.4235846310612272,1.682391861111911,12.026035504535685,-184.57557103545096
