videoID,samples,perc_twopersonsdetected,average_com_movementp1,average_com_movementp2,smoothness_distancecom,smoothness_distancecentroid,smoothness_xy_average_com_p1,smoothness_xy_average_com_p2,smoothness_xy_average_centroid_p1,smoothness_xy_average_centroid_p2,smoothness_p1_proximity,smoothness_p2_proximity
TestArekTime3,13882,0.6816741103587379,87.55593865454657,49.611396269541025,48.760688909469174,46.931374619695205,53.42843991190166,47.21320932852251,53.676246042317565,47.09835908856503,51.889499790579016,49.7672329440514
TestArekTime5,22495,0.963991998221827,45.55332297940615,21.414419857038528,50.17944590872535,49.56331954506269,49.62055478491409,49.46931941395277,49.226486151246526,49.38528710031829,48.54904518576552,48.83250761720218
TestArekTime7,26659,0.9960613676431974,59.72289387446253,18.12551233511952,49.568587928512365,49.962145014391226,50.939072119415,48.960945987871376,52.0145873739142,49.09917336982221,51.63848693507152,47.51332502538065
testDataNatalia,4896,0.9997957516339869,18.25932002021545,18.781292214007134,41.515590169917964,40.80690641213565,40.280378303164646,41.15858530826827,40.375195893916334,40.84109028963173,40.00487163742786,41.631065547472666
