.id,emRad,RP_max,RP_N,RR,SING_N,SING_rate,DIV_dl,REP_av,N_dl,N_dlp,DET,MEAN_dl,MAX_dl,ENT_dl,ENTrel_dl,CoV_dl,N_vl,N_vlp,LAM_vl,TT_vl,MAX_vl,ENT_vl,ENTrel_vl,CoV_vl,REP_vl,N_hlp,N_hl,LAM_hl,TT_hl,MAX_hl,ENT_hl,ENTrel_hl,CoV_hl,REP_hl,N_hvp,N_hv,LAM_hv,TT_hv,MAX_hv,ENT_hv,ENTrel_hv,CoV_hv,ratios.hv.Nlines_ani,ratios.hv.LAM_ani,ratios.hv.MEAN_ani,ratios.hv.MAX_ani,ratios.hv.ENT_ani,subject_nr,session,subject_nr_n,session_n,gender,age_label,age_days,age_label_mo,age_months,mean_age_mo,mean_age_days,age_days_cS1,age_months_cS1,session_n_0,age_days_0,unique_id,gender_f,subject_nr_f,predm14,predm15,predm16,N_sessions
point_1|session_2,4.85660925206354,33930625,1696535,0.0500001105196265,1046820,0.617034131332392,0.0333333333333333,5.39055585910745,235472,649715,0.382965868667608,2.75920279268873,30,1.14730794498157,0.132332097888841,0.614227727355038,682411,2395941,1.41225556796647,3.51099410765653,58,1.56915206111861,0.180988186356331,0.959182766620121,3.68767998276167,1106384,311692,0.652143339217877,3.54960666298782,57,1.57787491653213,0.18199429266066,0.993938487560417,1.70287587634578,3502325,994103,1.03219945359217,3.52310072497518,58,1.57198911724849,0.181315416365622,0.970404827545238,-0.368200266965516,-0.368200266965516,0.00546873510988328,-0.00869565217391304,0.00277177649745898,point_1,session_2,1,2,1,age_T2_days,311,age_T2_mo,10.2,8.73846153846154,265.846153846154,74.6,2.46,1,0.204741379310345,1_2,boys,dyad 01,0.402479722360732,0.398090939629576,0.401976454621275,5
point_1|session_3,5.50846804450087,33930625,1696535,0.0500001105196265,938283,0.553058439702099,0.0277777777777778,5.95521277886507,243409,758252,0.446941560297901,3.11513543048942,36,1.38671399693523,0.159945525688141,0.725838899411363,841507,3259407,1.92121412172457,3.87329754832699,75,1.71867546852752,0.19823442462432,1.13321023178436,4.29858015541007,1256145,313946,0.740417969567383,4.0011498792786,75,1.75699796381253,0.202654594657643,1.1742040166272,1.656632623455,4515552,1155453,1.33081604564598,3.90803606897035,75,1.72927483170458,0.199456969950221,1.14524585208236,-0.44363612687884,-0.44363612687884,0.0162363559001484,0,0.0110259194458339,point_1,session_3,1,3,1,age_T3_days,337,age_T3_mo,11,9.7,295.923076923077,100.6,3.26,2,0.260775862068966,1_3,boys,dyad 01,0.401620272589474,0.397379161959459,0.400534705183143,5
point_1|session_4,8.28473561598478,33930625,1696535,0.0500001105196265,1037769,0.611699139717129,0.0344827586206897,4.70246035769909,250947,658766,0.388300860282871,2.62512004526852,29,1.04604297052211,0.120652054556537,0.519574217572348,592550,1991995,1.17415496880406,3.36173318707282,61,1.54346767355821,0.178025713287331,0.810143466493295,3.02382788425632,1105826,332779,0.651814433536591,3.32300415591128,61,1.51842029153655,0.175136713325248,0.814448362601234,1.67863247344277,3097821,925329,0.912984701170327,3.34780494289058,61,1.53454191398815,0.176996203734709,0.811702417863599,-0.286062041673809,-0.286062041673809,-0.00579365039707778,0,-0.00818037181869522,point_1,session_4,1,4,1,age_T4_days,365,age_T4_mo,12,10.7076923076923,326.461538461538,128.6,4.26,3,0.321120689655172,1_4,boys,dyad 01,0.396197167230872,0.392609495801931,0.394474602526366,5
point_1|session_6,10.1508530953197,33930625,1696536,0.0500001399915268,1125148,0.663203138630716,0.0416666666666667,5.44212164063649,226930,571388,0.336796861369284,2.5179041995329,24,0.956672880466387,0.110343983774566,0.436170386543974,681415,2091015,1.23252026482197,3.06863658710184,23,1.41931449175581,0.163705712210592,0.570100459663271,3.65953607706147,1018548,336050,0.600369222934261,3.03094182413331,23,1.39152045210951,0.160499908928842,0.57184084841717,1.78258556357501,3109563,1017465,0.916444743878114,3.05618669929678,23,1.41024690505479,0.162659844118958,0.57070518805968,-0.344893157012738,-0.344893157012738,-0.00617989644974383,0,-0.00988817920702187,point_1,session_6,1,6,1,age_T6_days,437,age_T6_mo,14.3,12.775,389.916666666667,200.6,6.56,5,0.476293103448276,1_6,boys,dyad 01,0.36083516265885,0.361282085878097,0.357427436572219,5
point_1|session_7,11.1353950004805,33930625,1696537,0.0500001694634272,1109493,0.653975126979252,0.05,11.6245937272164,242613,587044,0.346024873020748,2.4196724825133,20,0.854275828534144,0.098533365048271,0.363134499293973,1436114,5589229,3.29449284041551,3.89191178416198,78,1.79245130940083,0.206743832964933,0.943947048824023,9.52097117081514,1234919,341627,0.727905727962314,3.61481674457815,78,1.67353501548423,0.19302786183793,0.890729185493638,2.10362255640122,6824148,1777741,2.01119928418891,3.83866266233383,78,1.77029950969611,0.20418881350415,0.935909627937901,-0.638073793241295,-0.638073793241296,-0.0369128893529251,0,-0.0343095104163579,point_1,session_7,1,7,1,age_T7_days,458,age_T7_mo,15,13.7692307692308,419.846153846154,221.6,7.26,6,0.521551724137931,1_7,boys,dyad 01,0.344711916906142,0.346974206853348,0.340799891006966,5
point_10|session_1,6.84041877687163,33930625,1696535,0.0500001105196265,1066163,0.628435605513591,0.0384615384615385,8.41785961305388,239427,630372,0.371564394486409,2.63283589570099,26,1.05497474068333,0.121682257379124,0.518545019415879,1009394,4097651,2.41530590291388,4.05951590756434,77,1.85900878322922,0.214420664787129,0.927418422305021,6.50036962301625,1208732,315746,0.712471007082082,3.82817834588562,77,1.75191465632938,0.202068278885664,0.937772848207462,1.91748999003763,5306383,1325140,1.56388845499798,4.00439425268274,77,1.83421999779524,0.211561491715991,0.930288529531057,-0.544423385948583,-0.544423385948583,-0.0293289210059759,0,-0.0296583765046337,point_10,session_1,10,1,1,age_T1_days,220,age_T1_mo,7.2,7.74,236.4,-16.4,-0.54,0,0.00862068965517241,10_1,boys,dyad 10,0.373892445414267,0.373000225988024,0.376643541857603,7
point_10|session_2,13.3798358216972,33930625,1696534,0.0500000810477261,1093840,0.644749825231914,0.0555555555555556,12.3193295436822,235504,602694,0.355250174768086,2.55916672328283,18,0.979119435588372,0.112933000736108,0.500012059681351,1472477,6158681,3.63015477438118,4.18253120422254,64,1.90912998046076,0.220201713552076,0.978775331466235,10.21858687825,1266105,328846,0.746289199037567,3.85014566088686,64,1.77202646408485,0.204388002830974,0.959536492719695,2.10074266543221,7424786,1801323,2.18822198670937,4.1218515502217,64,1.88499356870577,0.217417786170576,0.976709241048547,-0.658951786623884,-0.658951786623884,-0.0413791752011624,0,-0.037244686130919,point_10,session_2,10,2,1,age_T2_days,243,age_T2_mo,8,8.73846153846154,265.846153846154,6.59999999999999,0.26,1,0.0581896551724138,10_2,boys,dyad 10,0.381559807927272,0.38305766826043,0.381327396173715,7
point_10|session_3,8.46185303971812,33930625,1696535,0.0500001105196265,1065245,0.627894502618573,0.0526315789473684,15.823312582173,240855,631290,0.372105497381427,2.62103755371489,19,1.03357841468659,0.119214375309059,0.51842848982532,1832297,8632337,5.08821627611573,4.71121057339503,71,2.0518932596937,0.236668229211644,1.09230071183147,13.6741228278604,1356762,315953,0.799725322495557,4.29418932562755,71,1.91280964309409,0.220626130970192,1.07105513835793,2.1491897543126,9989099,2148250,2.94397079930564,4.64987734202258,71,2.0321053445416,0.23438586349076,1.09067318570472,-0.728351475943927,-0.728351475943927,-0.0463079099699671,0,-0.0350804637850198,point_10,session_3,10,3,1,age_T3_days,272,age_T3_mo,8.9,9.7,295.923076923077,35.6,1.16,2,0.120689655172414,10_3,boys,dyad 10,0.388504852067575,0.391985596746259,0.38616008809524,7
point_10|session_4,14.8551049416781,33930625,1696534,0.0500000810477261,1135769,0.669464331395657,0.024390243902439,9.95769350797571,221115,560765,0.330535668604343,2.53607851118196,41,0.959905908423607,0.110716885726464,0.479193920762909,1254916,4416980,2.60353167104225,3.51974156039129,41,1.63199548045213,0.188236633955154,0.840123271978769,7.87670414523018,1166946,345203,0.687841210373621,3.3804630898341,41,1.55920726109616,0.17984113925724,0.819318404119548,2.08098936274554,5583926,1600119,1.64568644070794,3.48969420399358,41,1.61661024447852,0.186462079388694,0.836227990060337,-0.58203385933123,-0.58203385933123,-0.0201846869212272,0,-0.0228090238229892,point_10,session_4,10,4,1,age_T4_days,305,age_T4_mo,10,10.7076923076923,326.461538461538,68.6,2.26,3,0.191810344827586,10_4,boys,dyad 10,0.392714043681498,0.397052764903734,0.39020349973201,7
point_10|session_5,6.05446222380882,33930625,1696535,0.0500001105196265,965472,0.569084634269261,0.0185185185185185,5.43133218340964,252180,731063,0.430915365730739,2.8989729558252,54,1.25573102059288,0.144837766587435,0.666039141214702,743680,2783224,1.64053438331658,3.742502151463,43,1.71040079119526,0.197280011804709,0.922241051513846,3.8070918648598,1187422,313969,0.699910110902516,3.78197210552634,42,1.72083909493408,0.198483980310463,0.94198609157975,1.62424031854984,3970646,1057649,1.17022224710955,3.75421902729545,43,1.71357016844861,0.197645572195685,0.928256213410052,-0.401899841990447,-0.401899841990447,0.00524554310577695,-0.0117647058823529,0.00304213756112395,point_10,session_5,10,5,1,age_t5_days,332,age_T5_mo,10.9,11.6,353.5,95.6,3.16,4,0.25,10_5,boys,dyad 10,0.393233226247495,0.397166683543277,0.392359013095163,7
