file,subject,session,tsN_before,tsN_after,tsN_diff,frameDiffRounded,frequency,framediffsN_raw,framediffsN_round
point_10_1_kam_5_chair_processed_data_layer2.csv,point_10,1,25455,7501,0,0.02,25448,15,5
point_10_1_kam_5_chair_processed_data_layer2.csv,point_10,1,25455,7501,0,0.04,3,15,5
point_10_1_kam_5_chair_processed_data_layer2.csv,point_10,1,25455,7501,0,0.06,1,15,5
point_10_1_kam_5_chair_processed_data_layer2.csv,point_10,1,25455,7501,0,0.22,1,15,5
point_10_1_kam_5_chair_processed_data_layer2.csv,point_10,1,25455,7501,0,0.24,1,15,5
point_10_2_kam_5_chair_processed_data_layer2.csv,point_10,2,23488,7501,0,0.02,23484,14,3
point_10_2_kam_5_chair_processed_data_layer2.csv,point_10,2,23488,7501,0,0.04,2,14,3
point_10_2_kam_5_chair_processed_data_layer2.csv,point_10,2,23488,7501,0,0.06,1,14,3
point_10_3_kam_5_chair_processed_data_layer2.csv,point_10,3,35150,7501,0,0.02,35149,12,1
point_10_4_kam_5_chair_processed_data_layer2.csv,point_10,4,21532,7501,0,0.02,21522,18,8
point_10_4_kam_5_chair_processed_data_layer2.csv,point_10,4,21532,7501,0,0.04,2,18,8
point_10_4_kam_5_chair_processed_data_layer2.csv,point_10,4,21532,7501,0,0.06,2,18,8
point_10_4_kam_5_chair_processed_data_layer2.csv,point_10,4,21532,7501,0,0.1,1,18,8
point_10_4_kam_5_chair_processed_data_layer2.csv,point_10,4,21532,7501,0,0.18,1,18,8
point_10_4_kam_5_chair_processed_data_layer2.csv,point_10,4,21532,7501,0,0.2,1,18,8
point_10_4_kam_5_chair_processed_data_layer2.csv,point_10,4,21532,7501,0,0.38,1,18,8
point_10_4_kam_5_chair_processed_data_layer2.csv,point_10,4,21532,7501,0,0.48,1,18,8
point_10_5_kam_5_chair_processed_data_layer2.csv,point_10,5,29925,7501,0,0.02,29920,16,5
point_10_5_kam_5_chair_processed_data_layer2.csv,point_10,5,29925,7501,0,0.08,1,16,5
point_10_5_kam_5_chair_processed_data_layer2.csv,point_10,5,29925,7501,0,0.28,1,16,5
point_10_5_kam_5_chair_processed_data_layer2.csv,point_10,5,29925,7501,0,0.4,1,16,5
point_10_5_kam_5_chair_processed_data_layer2.csv,point_10,5,29925,7501,0,0.74,1,16,5
point_10_6_kam_5_chair_processed_data_layer2.csv,point_10,6,23705,7501,0,0.02,23677,28,9
point_10_6_kam_5_chair_processed_data_layer2.csv,point_10,6,23705,7501,0,0.04,12,28,9
point_10_6_kam_5_chair_processed_data_layer2.csv,point_10,6,23705,7501,0,0.06,4,28,9
point_10_6_kam_5_chair_processed_data_layer2.csv,point_10,6,23705,7501,0,0.08,2,28,9
point_10_6_kam_5_chair_processed_data_layer2.csv,point_10,6,23705,7501,0,0.1,3,28,9
point_10_6_kam_5_chair_processed_data_layer2.csv,point_10,6,23705,7501,0,0.12,2,28,9
point_10_6_kam_5_chair_processed_data_layer2.csv,point_10,6,23705,7501,0,0.16,2,28,9
point_10_6_kam_5_chair_processed_data_layer2.csv,point_10,6,23705,7501,0,0.28,1,28,9
point_10_6_kam_5_chair_processed_data_layer2.csv,point_10,6,23705,7501,0,0.42,1,28,9
point_10_7_kam_5_chair_processed_data_layer2.csv,point_10,7,29170,7501,0,0.02,29168,13,2
point_10_7_kam_5_chair_processed_data_layer2.csv,point_10,7,29170,7501,0,0.04,1,13,2
