.id,Nn.pct,Nsize,Nradius,emLag.method,emLag,emDim,Nn.mean,Nn.sd,Nn.min,Nn.max,Nns.f,subject
session_1,0.956120306194162,Auto,0.532772660305165,global.minimum,77,3,11.6133393900227,6.05842950176044,0,58.6946675671135,NN radius = 0.5328,p1
session_2,1.46549339572086,Auto,0.589135164244792,global.minimum,148,3,11.7162816329444,7.32555609993692,0,105.227823802542,NN radius = 0.5891,p1
session_3,0.708909109700409,Auto,0.809666282085574,global.minimum,367,3,16.976564119446,10.2930164848266,0,122.91953172915,NN radius = 0.8097,p1
session_4,0.60325267849965,Auto,1.13531866137326,global.minimum,489,3,24.9596539951879,13.9234281997089,0,176.367829607696,NN radius = 1.1353,p1
session_5,0.639723593449296,Auto,0.843051809777143,global.minimum,272,3,18.2262509585847,10.3031865799032,0,115.628722508249,NN radius = 0.8431,p1
session_1,2.07487960627826,Auto,0.232288971660688,global.minimum,228,3,4.1972663905461,3.59423212035362,0,38.7137497386351,NN radius = 0.2323,p2
session_2,1.7572992705496,Auto,0.375011825274941,global.minimum,350,3,7.0142610106301,5.04136821699099,0,63.3103805544734,NN radius = 0.375,p2
session_3,3.21757233538196,Auto,0.519709116488241,global.minimum,201,3,10.036424257764,8.2609962746941,0,92.3445852715738,NN radius = 0.5197,p2
session_4,1.10314699843645,Auto,0.589521397619846,global.minimum,285,3,11.6786607393035,8.09849635802985,0,122.486946027092,NN radius = 0.5895,p2
session_5,0.614784268643809,Auto,0.547049174456029,global.minimum,414,3,11.8177324003788,6.80453429760159,0,100.668850226875,NN radius = 0.547,p2
session_1,1.0745610969091,Auto,0.558146679193902,global.minimum,94,3,11.5497334688018,7.17185587252839,0,120.405532144469,NN radius = 0.5581,p1
session_2,1.1518519747675,Auto,0.92191582409787,global.minimum,77,3,19.1582314953744,11.8862531791139,0,147.851748496515,NN radius = 0.9219,p1
session_3,0.673397140886804,Auto,0.501621148592706,global.minimum,155,3,10.632888410578,5.88156685473067,0,76.8668889892239,NN radius = 0.5016,p1
session_4,0.725680434731908,Auto,0.699489932494481,global.minimum,236,3,14.7558581990696,9.13397024253532,0,148.964328770887,NN radius = 0.6995,p1
session_5,1.34393726137751,Auto,0.847097210319042,global.minimum,222,3,16.5167860295143,12.7514129068495,0,229.299387418328,NN radius = 0.8471,p1
session_1,0.72368946758491,Auto,0.419057071103571,global.minimum,140,3,8.73658411243177,5.25325022987503,0,65.4738407502026,NN radius = 0.4191,p2
session_2,0.616420065859399,Auto,0.461029746288259,global.minimum,487,3,10.075906470696,5.80382781502687,0,58.7364240173269,NN radius = 0.461,p2
session_3,0.714787948049936,Auto,0.387449150860239,global.minimum,300,3,8.11335296253066,5.0812025442491,0,57.0931387697481,NN radius = 0.3874,p2
session_4,1.10646663576049,Auto,0.674789078473405,global.minimum,838,3,11.8222614616573,12.3945716601737,0,206.20394026613,NN radius = 0.6748,p2
