file,subject,session,tsN_before,tsN_after,tsN_diff,frameDiffRounded,frequency,framediffsN_raw,framediffsN_round
point_12_1_kam_5_chair_processed_data_layer2.csv,point_12,1,23610,7501,0,0.02,23606,11,4
point_12_1_kam_5_chair_processed_data_layer2.csv,point_12,1,23610,7501,0,0.1,1,11,4
point_12_1_kam_5_chair_processed_data_layer2.csv,point_12,1,23610,7501,0,0.46,1,11,4
point_12_1_kam_5_chair_processed_data_layer2.csv,point_12,1,23610,7501,0,7,1,11,4
point_12_2_kam_5_chair_processed_data_layer2.csv,point_12,2,21702,7501,0,0.02,21700,8,2
point_12_2_kam_5_chair_processed_data_layer2.csv,point_12,2,21702,7501,0,0.4,1,8,2
point_12_3_kam_5_chair_processed_data_layer2.csv,point_12,3,28338,7501,0,0.02,28335,9,3
point_12_3_kam_5_chair_processed_data_layer2.csv,point_12,3,28338,7501,0,0.12,1,9,3
point_12_3_kam_5_chair_processed_data_layer2.csv,point_12,3,28338,7501,0,0.28,1,9,3
point_12_4_kam_5_chair_processed_data_layer2.csv,point_12,4,27376,7501,0,0.02,27367,17,6
point_12_4_kam_5_chair_processed_data_layer2.csv,point_12,4,27376,7501,0,0.04,2,17,6
point_12_4_kam_5_chair_processed_data_layer2.csv,point_12,4,27376,7501,0,0.06,3,17,6
point_12_4_kam_5_chair_processed_data_layer2.csv,point_12,4,27376,7501,0,0.1,1,17,6
point_12_4_kam_5_chair_processed_data_layer2.csv,point_12,4,27376,7501,0,0.14,1,17,6
point_12_4_kam_5_chair_processed_data_layer2.csv,point_12,4,27376,7501,0,1.82,1,17,6
point_12_5_kam_5_chair_processed_data_layer2.csv,point_12,5,16395,7501,0,0.02,16392,9,3
point_12_5_kam_5_chair_processed_data_layer2.csv,point_12,5,16395,7501,0,0.52,1,9,3
point_12_5_kam_5_chair_processed_data_layer2.csv,point_12,5,16395,7501,0,2.2,1,9,3
point_12_6_kam_5_chair_processed_data_layer2.csv,point_12,6,17958,7501,0,0.02,17944,22,9
point_12_6_kam_5_chair_processed_data_layer2.csv,point_12,6,17958,7501,0,0.04,5,22,9
point_12_6_kam_5_chair_processed_data_layer2.csv,point_12,6,17958,7501,0,0.06,2,22,9
point_12_6_kam_5_chair_processed_data_layer2.csv,point_12,6,17958,7501,0,0.12,1,22,9
point_12_6_kam_5_chair_processed_data_layer2.csv,point_12,6,17958,7501,0,0.26,1,22,9
point_12_6_kam_5_chair_processed_data_layer2.csv,point_12,6,17958,7501,0,0.3,1,22,9
point_12_6_kam_5_chair_processed_data_layer2.csv,point_12,6,17958,7501,0,1.5,1,22,9
point_12_6_kam_5_chair_processed_data_layer2.csv,point_12,6,17958,7501,0,1.72,1,22,9
point_12_6_kam_5_chair_processed_data_layer2.csv,point_12,6,17958,7501,0,5,1,22,9
point_12_7_kam_5_chair_processed_data_layer2.csv,point_12,7,45537,7501,0,0.02,45514,19,9
point_12_7_kam_5_chair_processed_data_layer2.csv,point_12,7,45537,7501,0,0.04,8,19,9
point_12_7_kam_5_chair_processed_data_layer2.csv,point_12,7,45537,7501,0,0.06,3,19,9
point_12_7_kam_5_chair_processed_data_layer2.csv,point_12,7,45537,7501,0,0.08,4,19,9
point_12_7_kam_5_chair_processed_data_layer2.csv,point_12,7,45537,7501,0,0.1,2,19,9
point_12_7_kam_5_chair_processed_data_layer2.csv,point_12,7,45537,7501,0,0.16,1,19,9
point_12_7_kam_5_chair_processed_data_layer2.csv,point_12,7,45537,7501,0,0.24,2,19,9
point_12_7_kam_5_chair_processed_data_layer2.csv,point_12,7,45537,7501,0,0.26,1,19,9
point_12_7_kam_5_chair_processed_data_layer2.csv,point_12,7,45537,7501,0,0.36,1,19,9
