file,subject,session,tsN_before,tsN_after,tsN_diff,frameDiffRounded,frequency,framediffsN_raw,framediffsN_round
point_3_1_kam_5_chair_processed_data_layer2.csv,point_3,1,26746,7501,0,0.02,26729,22,7
point_3_1_kam_5_chair_processed_data_layer2.csv,point_3,1,26746,7501,0,0.04,10,22,7
point_3_1_kam_5_chair_processed_data_layer2.csv,point_3,1,26746,7501,0,0.06,2,22,7
point_3_1_kam_5_chair_processed_data_layer2.csv,point_3,1,26746,7501,0,0.12,1,22,7
point_3_1_kam_5_chair_processed_data_layer2.csv,point_3,1,26746,7501,0,0.14,1,22,7
point_3_1_kam_5_chair_processed_data_layer2.csv,point_3,1,26746,7501,0,0.18,1,22,7
point_3_1_kam_5_chair_processed_data_layer2.csv,point_3,1,26746,7501,0,0.32,1,22,7
point_3_2_kam_5_chair_processed_data_layer2.csv,point_3,2,14950,7501,0,0.02,14942,15,4
point_3_2_kam_5_chair_processed_data_layer2.csv,point_3,2,14950,7501,0,0.04,5,15,4
point_3_2_kam_5_chair_processed_data_layer2.csv,point_3,2,14950,7501,0,0.06,1,15,4
point_3_2_kam_5_chair_processed_data_layer2.csv,point_3,2,14950,7501,0,0.26,1,15,4
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.02,23188,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.04,12,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.06,1,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.1,2,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.14,1,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.16,1,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.2,1,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.24,1,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.3,1,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,0.98,1,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,1.78,1,23,12
point_3_3_kam_5_chair_processed_data_layer2.csv,point_3,3,23212,7501,0,8.68,1,23,12
point_3_4_kam_5_chair_processed_data_layer2.csv,point_3,4,26250,7501,0,0.02,26249,12,1
point_3_5_kam_5_chair_processed_data_layer2.csv,point_3,5,30940,7501,0,0.02,30926,20,8
point_3_5_kam_5_chair_processed_data_layer2.csv,point_3,5,30940,7501,0,0.04,2,20,8
point_3_5_kam_5_chair_processed_data_layer2.csv,point_3,5,30940,7501,0,0.06,1,20,8
point_3_5_kam_5_chair_processed_data_layer2.csv,point_3,5,30940,7501,0,0.08,6,20,8
point_3_5_kam_5_chair_processed_data_layer2.csv,point_3,5,30940,7501,0,0.14,1,20,8
point_3_5_kam_5_chair_processed_data_layer2.csv,point_3,5,30940,7501,0,0.16,1,20,8
point_3_5_kam_5_chair_processed_data_layer2.csv,point_3,5,30940,7501,0,0.26,1,20,8
point_3_5_kam_5_chair_processed_data_layer2.csv,point_3,5,30940,7501,0,0.28,1,20,8
point_3_6_kam_5_chair_processed_data_layer2.csv,point_3,6,22826,7501,0,0.02,22823,10,3
point_3_6_kam_5_chair_processed_data_layer2.csv,point_3,6,22826,7501,0,0.14,1,10,3
point_3_6_kam_5_chair_processed_data_layer2.csv,point_3,6,22826,7501,0,0.16,1,10,3
point_3_7_kam_5_chair_processed_data_layer2.csv,point_3,7,23229,7501,0,0.02,23225,13,4
point_3_7_kam_5_chair_processed_data_layer2.csv,point_3,7,23229,7501,0,0.06,1,13,4
point_3_7_kam_5_chair_processed_data_layer2.csv,point_3,7,23229,7501,0,0.18,1,13,4
point_3_7_kam_5_chair_processed_data_layer2.csv,point_3,7,23229,7501,0,0.38,1,13,4
