frame,person,keypoint,x,y
0,0,0,0.0,0.0
0,0,1,0.0,0.0
0,0,2,0.0,0.0
0,0,3,0.0,0.0
0,0,4,1625.318603515625,828.2755126953125
0,0,5,1377.5068359375,968.0092163085938
0,0,6,1632.7349853515625,776.9090576171875
0,0,7,1216.34716796875,987.9358520507812
0,0,8,1467.67626953125,526.458251953125
0,0,9,1098.301513671875,921.0810546875
0,0,10,1266.490234375,516.2457275390625
0,0,11,1220.380859375,801.40380859375
0,0,12,1386.8310546875,713.7826538085938
0,0,13,1230.501220703125,718.9013671875
0,0,14,1385.54345703125,635.4876708984375
0,0,15,0.0,0.0
0,0,16,1219.011962890625,792.4488525390625
0,1,0,343.57672119140625,670.758544921875
0,1,1,338.02850341796875,650.859619140625
0,1,2,325.7143859863281,671.1341552734375
0,1,3,338.4124755859375,585.4421997070312
0,1,4,0.0,0.0
0,1,5,383.4690246582031,469.9875183105469
0,1,6,294.4088134765625,629.1937255859375
0,1,7,518.9343872070312,420.05517578125
0,1,8,393.90966796875,748.3174438476562
0,1,9,584.0432739257812,480.07806396484375
0,1,10,469.4781188964844,696.942138671875
0,1,11,471.61285400390625,492.09930419921875
0,1,12,413.588134765625,568.5662841796875
0,1,13,525.1345825195312,622.0863037109375
0,1,14,446.0572509765625,707.366943359375
0,1,15,588.998046875,586.9649047851562
0,1,16,0.0,0.0
1,0,0,0.0,0.0
1,0,1,0.0,0.0
1,0,2,0.0,0.0
1,0,3,0.0,0.0
1,0,4,0.0,0.0
1,0,5,1353.910888671875,1039.9442138671875
1,0,6,1644.1966552734375,851.1637573242188
1,0,7,1227.6488037109375,1010.689208984375
1,0,8,1512.58203125,544.6473999023438
1,0,9,1094.481201171875,938.41552734375
1,0,10,1284.7747802734375,521.8062744140625
1,0,11,1236.06884765625,837.9208374023438
1,0,12,1430.1656494140625,751.71875
1,0,13,1255.245361328125,695.4766845703125
1,0,14,1413.3201904296875,613.8157348632812
1,0,15,0.0,0.0
1,0,16,1172.5601806640625,769.3068237304688
1,1,0,344.0746765136719,677.0031127929688
1,1,1,339.399658203125,657.7859497070312
1,1,2,325.8754577636719,676.2265625
1,1,3,342.6199951171875,593.700439453125
1,1,4,0.0,0.0
1,1,5,389.49517822265625,481.49078369140625
1,1,6,293.2784118652344,620.6893310546875
1,1,7,517.7817993164062,422.93133544921875
1,1,8,360.7861328125,712.5144653320312
1,1,9,582.8917236328125,481.9194030761719
1,1,10,411.32635498046875,681.2669677734375
1,1,11,470.083984375,487.3837890625
1,1,12,409.54931640625,553.6334228515625
1,1,13,517.5916137695312,612.3694458007812
1,1,14,438.90435791015625,680.6885986328125
1,1,15,581.0780029296875,578.9769287109375
1,1,16,0.0,0.0
2,0,0,0.0,0.0
2,0,1,0.0,0.0
2,0,2,0.0,0.0
2,0,3,0.0,0.0
2,0,4,0.0,0.0
2,0,5,1356.030517578125,1037.6949462890625
2,0,6,1644.404052734375,847.09619140625
2,0,7,1228.6263427734375,1011.617919921875
2,0,8,1512.01220703125,542.9281616210938
2,0,9,1094.0914306640625,939.4949340820312
2,0,10,1285.170166015625,522.2900390625
2,0,11,1238.9981689453125,833.5691528320312
2,0,12,1431.48681640625,746.4076538085938
2,0,13,1256.32275390625,696.74462890625
2,0,14,1413.326416015625,613.5440063476562
2,0,15,0.0,0.0
2,0,16,1171.667236328125,770.81982421875
2,1,0,343.8584289550781,670.7374877929688
2,1,1,338.9367370605469,650.0571899414062
2,1,2,325.051513671875,670.4568481445312
2,1,3,342.3985595703125,583.9839477539062
2,1,4,0.0,0.0
2,1,5,391.0546875,471.5931396484375
2,1,6,295.05914306640625,624.6484375
2,1,7,520.2280883789062,421.7337341308594
2,1,8,382.2213134765625,736.6349487304688
2,1,9,584.7405395507812,480.256103515625
