frame,person,keypoint,x,y
0,0,0,0.0,0.0
0,0,1,0.0,0.0
0,0,2,0.0,0.0
0,0,3,0.0,0.0
0,0,4,0.0,0.0
0,0,5,386.6954040527344,306.95294189453125
0,0,6,393.76959228515625,538.3936767578125
0,0,7,532.3372802734375,290.29608154296875
0,0,8,569.74072265625,595.3961181640625
0,0,9,698.9046020507812,363.7100830078125
0,0,10,729.6881713867188,507.01983642578125
0,0,11,371.43524169921875,416.7463073730469
0,0,12,375.52142333984375,534.980712890625
0,0,13,516.9825439453125,541.61767578125
0,0,14,546.702392578125,666.347900390625
0,0,15,0.0,0.0
0,0,16,0.0,0.0
0,1,0,0.0,0.0
0,1,1,0.0,0.0
0,1,2,0.0,0.0
0,1,3,0.0,0.0
0,1,4,0.0,0.0
0,1,5,1557.3720703125,461.4835510253906
0,1,6,0.0,0.0
0,1,7,1500.3460693359375,550.184814453125
0,1,8,1373.0101318359375,393.0133056640625
0,1,9,1307.175048828125,612.4202880859375
0,1,10,1249.725341796875,449.54736328125
0,1,11,1462.330322265625,569.4004516601562
0,1,12,1367.1595458984375,494.15972900390625
0,1,13,1323.9747314453125,729.9692993164062
0,1,14,1301.391845703125,635.72705078125
0,1,15,0.0,0.0
0,1,16,0.0,0.0
1,0,0,0.0,0.0
1,0,1,0.0,0.0
1,0,2,0.0,0.0
1,0,3,0.0,0.0
1,0,4,0.0,0.0
1,0,5,412.87225341796875,277.3340148925781
1,0,6,398.0007019042969,556.0843505859375
1,0,7,566.302978515625,298.74456787109375
1,0,8,612.47607421875,607.5184326171875
1,0,9,715.639892578125,375.4292907714844
1,0,10,733.709716796875,515.5398559570312
1,0,11,402.57244873046875,390.4084167480469
1,0,12,383.3768005371094,542.1903076171875
1,0,13,645.94677734375,449.16973876953125
1,0,14,618.0675048828125,645.1942749023438
1,0,15,0.0,0.0
1,0,16,0.0,0.0
1,1,0,0.0,0.0
1,1,1,0.0,0.0
1,1,2,0.0,0.0
1,1,3,0.0,0.0
1,1,4,0.0,0.0
1,1,5,0.0,0.0
1,1,6,0.0,0.0
1,1,7,1507.408935546875,527.489501953125
1,1,8,1362.8253173828125,323.4049377441406
1,1,9,1290.78564453125,610.97802734375
1,1,10,1245.231201171875,419.37811279296875
1,1,11,1510.3968505859375,517.3094482421875
1,1,12,1382.3377685546875,438.3870849609375
1,1,13,1343.49462890625,726.6915893554688
1,1,14,1271.454833984375,648.7394409179688
1,1,15,1480.576904296875,623.876708984375
1,1,16,0.0,0.0
2,0,0,0.0,0.0
2,0,1,0.0,0.0
2,0,2,0.0,0.0
2,0,3,0.0,0.0
2,0,4,429.1812744140625,526.0062255859375
2,0,5,409.4079895019531,287.60943603515625
2,0,6,390.8392639160156,572.42919921875
2,0,7,560.257568359375,302.25213623046875
2,0,8,611.1543579101562,610.14208984375
2,0,9,711.4544677734375,378.0896301269531
2,0,10,735.4009399414062,513.3209228515625
2,0,11,386.80645751953125,401.14984130859375
2,0,12,366.5486755371094,555.82568359375
2,0,13,667.3846435546875,467.84906005859375
2,0,14,663.5902099609375,658.9573974609375
2,0,15,0.0,0.0
2,0,16,0.0,0.0
2,1,0,0.0,0.0
2,1,1,0.0,0.0
2,1,2,0.0,0.0
2,1,3,0.0,0.0
2,1,4,0.0,0.0
2,1,5,1572.2384033203125,435.42730712890625
2,1,6,0.0,0.0
2,1,7,1514.3372802734375,560.7034301757812
2,1,8,1353.6409912109375,325.34649658203125
2,1,9,1305.91357421875,625.611328125
2,1,10,1243.8990478515625,410.9393310546875
2,1,11,1461.0264892578125,540.73681640625
2,1,12,1331.5836181640625,436.96051025390625
2,1,13,1333.0662841796875,754.638427734375
2,1,14,1288.6839599609375,593.846435546875
2,1,15,0.0,0.0
2,1,16,0.0,0.0
3,0,0,0.0,0.0
